resp_var,pred,res,abs res,per res,abs per res,MAE,MAPE
0.01,13.005,-12.995,12.995,-129950.00%,129950.00%,,
58,37,21,21,36.21%,36.21%,,
32,32,0,0,0.00%,0.00%,,
5,23.4,-18.4,18.4,-368.00%,368.00%,,
81,76,5,5,6.17%,6.17%,,
30,43,-13,13,-43.33%,43.33%,,
5,5.4,-0.4,0.4,-8.00%,8.00%,,
52,58.5,-6.5,6.5,-12.50%,12.50%,,
11,16.9,-5.9,5.9,-53.64%,53.64%,,
2,10.8,-8.8,8.8,-440.00%,440.00%,,
11,16.1,-5.1,5.1,-46.36%,46.36%,,
60,75.3,-15.3,15.3,-25.50%,25.50%,,
36,48.9,-12.9,12.9,-35.83%,35.83%,,
65,53,12,12,18.46%,18.46%,,
157,116.1,40.9,40.9,26.05%,26.05%,,
9,22.5,-13.5,13.5,-150.00%,150.00%,,
29,40.5,-11.5,11.5,-39.66%,39.66%,,
75,67.7,7.3,7.3,9.73%,9.73%,,
73,42.7,30.3,30.3,41.51%,41.51%,,
8,12.8,-4.8,4.8,-60.00%,60.00%,,
36,24.4,11.6,11.6,32.22%,32.22%,,
43,56.1,-13.1,13.1,-30.47%,30.47%,,
4,14.4,-10.4,10.4,-260.00%,260.00%,,
52,48,4,4,7.69%,7.69%,,
21,26.2,-5.2,5.2,-24.76%,24.76%,,
91,84.3,6.7,6.7,7.36%,7.36%,,
32,21.3,10.7,10.7,33.44%,33.44%,,
23,27,-4,4,-17.39%,17.39%,,
45,46.2,-1.2,1.2,-2.67%,2.67%,,
84,73.2,10.8,10.8,12.86%,12.86%,,
34,44.1,-10.1,10.1,-29.71%,29.71%,,
41,38.5,2.5,2.5,6.10%,6.10%,,
59,50.3,8.7,8.7,14.75%,14.75%,,
72,62.6,9.4,9.4,13.06%,13.06%,,
84,61.6,22.4,22.4,26.67%,26.67%,,
4,14.5,-10.5,10.5,-262.50%,262.50%,,
2,10.701,-8.701,8.701,-435.05%,435.05%,,
8,12.402,-4.402,4.402,-55.03%,55.03%,,
23,38.7,-15.7,15.7,-68.26%,68.26%,,
15,33,-18,18,-120.00%,120.00%,,
5,15.4,-10.4,10.4,-208.00%,208.00%,,
44,48.6,-4.6,4.6,-10.45%,10.45%,,
22,16.7,5.3,5.3,24.09%,24.09%,,
76,67.8,8.2,8.2,10.79%,10.79%,,
6,16.7,-10.7,10.7,-178.33%,178.33%,,
50,54.1,-4.1,4.1,-8.20%,8.20%,,
95,84.9,10.1,10.1,10.63%,10.63%,,
33,31.4,1.6,1.6,4.85%,4.85%,,
4,28.6,-24.6,24.6,-615.00%,615.00%,,
0.01,6.207,-6.197,6.197,-61970.00%,61970.00%,,
30,32.2,-2.2,2.2,-7.33%,7.33%,,
45,37.8,7.2,7.2,16.00%,16.00%,,
37,47.1,-10.1,10.1,-27.30%,27.30%,,
76,65.4,10.6,10.6,13.95%,13.95%,,
112,91.8,20.2,20.2,18.04%,18.04%,,
102,70.3,31.7,31.7,31.08%,31.08%,,
30,28.802,1.198,1.198,3.99%,3.99%,,
81,75.1,5.9,5.9,7.28%,7.28%,,
3,2.902,0.098,0.098,3.27%,3.27%,,
150,132.6,17.4,17.4,11.60%,11.60%,,
119,81.701,37.299,37.299,31.34%,31.34%,,
159,115.4,43.6,43.6,27.42%,27.42%,,
76,67.501,8.499,8.499,11.18%,11.18%,,
80,65.8,14.2,14.2,17.75%,17.75%,,
