,Name,player,Team,opp,venue,Home_f,Round,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,season,rank,rank_group,exp_pts
63,Cameron Bancroft,CT Bancroft,Sydney Thunder,Melbourne Renegades,Sydney Showground,1,4,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,21.21407999999984
64,Cameron Bancroft,CT Bancroft,Sydney Thunder,Perth Scorchers,Perth Stadium,0,5,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,18.13083690476185
65,Cameron Bancroft,CT Bancroft,Sydney Thunder,Brisbane Heat,GABBA,0,6,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,20.34601333333328
66,Cameron Bancroft,CT Bancroft,Sydney Thunder,Hobart Hurricanes,Sydney Showground,1,6,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,17.158517333333254
67,Cameron Bancroft,CT Bancroft,Sydney Thunder,Hobart Hurricanes,Hobart,0,7,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,16.337983999999956
68,Cameron Bancroft,CT Bancroft,Sydney Thunder,Perth Scorchers,Sydney Showground,1,8,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,19.20432857142849
69,Cameron Bancroft,CT Bancroft,Sydney Thunder,Sydney Sixers,SCG,0,9,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,23.862067999999937
70,Xavier Bartlett,XC Bartlett,Brisbane Heat,Melbourne Stars,Melbourne Cricket Ground,0,1,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,49.988102000000005
71,Xavier Bartlett,XC Bartlett,Brisbane Heat,Adelaide Strikers,GABBA,1,2,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,48.747102000000005
72,Xavier Bartlett,XC Bartlett,Brisbane Heat,Sydney Sixers,Perth Stadium,0,3,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,48.239904
