,player,match_id,innings,bat_position
1,BR Dunk,1023607.0,1.0,2.0
2,JR Dean,1023607.0,1.0,3.0
3,TM Head,1023607.0,1.0,4.0
4,BJ Hodge,1023607.0,1.0,5.0
5,KA Pollard,1023607.0,1.0,6.0
6,CJ Jordan,1023607.0,1.0,7.0
7,MG Neser,1023607.0,1.0,8.0
8,B Laughlin,1023607.0,1.0,9.0
9,B Stanlake,1023607.0,1.0,10.0
10,LN O'Connor,1023607.0,1.0,11.0
0,TD Paine,1023607.0,2.0,1.0
1,DJM Short,1023607.0,2.0,2.0
2,KC Sangakkara,1023607.0,2.0,3.0
3,GJ Bailey,1023607.0,2.0,4.0
0,SE Marsh,1023605.0,1.0,1.0
1,IR Bell,1023605.0,1.0,2.0
2,M Klinger,1023605.0,1.0,3.0
3,MR Marsh,1023605.0,1.0,4.0
4,AC Voges,1023605.0,1.0,5.0
5,AJ Turner,1023605.0,1.0,6.0
6,SM Whiteman,1023605.0,1.0,7.0
0,RJ Gibson,1023605.0,2.0,1.0
1,KR Patterson,1023605.0,2.0,2.0
2,SR Watson,1023605.0,2.0,3.0
3,BJ Rohrer,1023605.0,2.0,4.0
4,EJG Morgan,1023605.0,2.0,5.0
5,AD Russell,1023605.0,2.0,6.0
6,PJ Cummins,1023605.0,2.0,7.0
7,JS Lenton,1023605.0,2.0,8.0
8,CJ Green,1023605.0,2.0,9.0
9,CJ McKay,1023605.0,2.0,10.0
0,SP Narine,1023603.0,1.0,1.0
1,AJ Finch,1023603.0,1.0,2.0
2,MS Harris,1023603.0,1.0,3.0
3,CL White,1023603.0,1.0,4.0
4,TLW Cooper,1023603.0,1.0,5.0
5,TL Lawford,1023603.0,1.0,6.0
0,GJ Maxwell,1023603.0,2.0,1.0
1,LJ Wright,1023603.0,2.0,2.0
2,KP Pietersen,1023603.0,2.0,3.0
3,DJ Hussey,1023603.0,2.0,4.0
4,JP Faulkner,1023603.0,2.0,5.0
5,MP Stoinis,1023603.0,2.0,6.0
6,SB Harper,1023603.0,2.0,7.0
7,A Zampa,1023603.0,2.0,8.0
8,BW Hilfenhaus,1023603.0,2.0,9.0
9,SM Boland,1023603.0,2.0,10.0
10,MA Beer,1023603.0,2.0,11.0
0,BJ Hodge,1023601.0,1.0,1.0
1,J Weatherald,1023601.0,1.0,2.0
2,BR Dunk,1023601.0,1.0,3.0
3,TM Head,1023601.0,1.0,4.0
4,KA Pollard,1023601.0,1.0,5.0
5,JS Lehmann,1023601.0,1.0,6.0
6,CJ Jordan,1023601.0,1.0,7.0
7,TD Andrews,1023601.0,1.0,8.0
8,B Stanlake,1023601.0,1.0,9.0
9,LN O'Connor,1023601.0,1.0,10.0
0,DP Hughes,1023601.0,2.0,1.0
1,JJ Roy,1023601.0,2.0,2.0
2,NJ Maddinson,1023601.0,2.0,3.0
3,BJ Haddin,1023601.0,2.0,4.0
4,MC Henriques,1023601.0,2.0,5.0
5,SW Billings,1023601.0,2.0,6.0
6,J Botha,1023601.0,2.0,7.0
7,SA Abbott,1023601.0,2.0,8.0
8,BJ Dwarshuis,1023601.0,2.0,9.0
9,WER Somerville,1023601.0,2.0,10.0
0,DJM Short,1023599.0,1.0,1.0
1,TD Paine,1023599.0,1.0,2.0
2,KC Sangakkara,1023599.0,1.0,3.0
3,GJ Bailey,1023599.0,1.0,4.0
4,DT Christian,1023599.0,1.0,5.0
5,JW Wells,1023599.0,1.0,6.0
6,HP Kingston,1023599.0,1.0,7.0
7,CJ Boyce,1023599.0,1.0,8.0
8,CA Rose,1023599.0,1.0,9.0
9,SCJ Broad,1023599.0,1.0,10.0
0,JJ Peirson,1023599.0,2.0,1.0
1,BB McCullum,1023599.0,2.0,2.0
2,CA Lynn,1023599.0,2.0,3.0
3,AI Ross,1023599.0,2.0,4.0
4,JA Burns,1023599.0,2.0,5.0
0,MS Harris,1023597.0,1.0,1.0
1,AJ Finch,1023597.0,1.0,2.0
2,CL White,1023597.0,1.0,3.0
3,CJ Ferguson,1023597.0,1.0,4.0
4,DJ Bravo,1023597.0,1.0,5.0
5,TLW Cooper,1023597.0,1.0,6.0
6,PM Nevill,1023597.0,1.0,7.0
7,SP Narine,1023597.0,1.0,8.0
8,CP Tremain,1023597.0,1.0,9.0
0,M Klinger,1023597.0,2.0,1.0
1,SE Marsh,1023597.0,2.0,2.0
2,IR Bell,1023597.0,2.0,3.0
3,MR Marsh,1023597.0,2.0,4.0
4,AJ Turner,1023597.0,2.0,5.0
5,AC Voges,1023597.0,2.0,6.0
6,AC Agar,1023597.0,2.0,7.0
0,KR Patterson,1023595.0,1.0,1.0
1,RJ Gibson,1023595.0,1.0,2.0
2,SR Watson,1023595.0,1.0,3.0
3,EJG Morgan,1023595.0,1.0,4.0
4,AD Russell,1023595.0,1.0,5.0
5,BJ Rohrer,1023595.0,1.0,6.0
6,PJ Cummins,1023595.0,1.0,7.0
7,CJ Green,1023595.0,1.0,8.0
8,CJ McKay,1023595.0,1.0,9.0
0,JJ Peirson,1023595.0,2.0,1.0
1,CA Lynn,1023595.0,2.0,2.0
2,BB McCullum,1023595.0,2.0,3.0
3,AI Ross,1023595.0,2.0,4.0
4,JA Burns,1023595.0,2.0,5.0
5,BCJ Cutting,1023595.0,2.0,6.0
6,JS Floros,1023595.0,2.0,7.0
7,JD Wildermuth,1023595.0,2.0,8.0
8,MT Steketee,1023595.0,2.0,9.0
0,M Klinger,1023593.0,1.0,1.0
1,SE Marsh,1023593.0,1.0,2.0
2,IR Bell,1023593.0,1.0,3.0
3,SM Whiteman,1023593.0,1.0,4.0
4,DJ Willey,1023593.0,1.0,5.0
5,MR Marsh,1023593.0,1.0,6.0
6,AC Voges,1023593.0,1.0,7.0
7,AJ Turner,1023593.0,1.0,8.0
8,AC Agar,1023593.0,1.0,9.0
9,JA Richardson,1023593.0,1.0,10.0
0,SW Billings,1023593.0,2.0,1.0
1,BJ Haddin,1023593.0,2.0,2.0
2,MC Henriques,1023593.0,2.0,3.0
3,JC Silk,1023593.0,2.0,4.0
4,J Botha,1023593.0,2.0,5.0
5,RGL Carters,1023593.0,2.0,6.0
0,TD Paine,1023591.0,1.0,1.0
1,DJM Short,1023591.0,1.0,2.0
2,DP Michael,1023591.0,1.0,3.0
3,KC Sangakkara,1023591.0,1.0,4.0
4,GJ Bailey,1023591.0,1.0,5.0
5,DT Christian,1023591.0,1.0,6.0
0,RJ Quiney,1023591.0,2.0,1.0
1,LJ Wright,1023591.0,2.0,2.0
2,GJ Maxwell,1023591.0,2.0,3.0
3,DJ Hussey,1023591.0,2.0,4.0
4,JP Faulkner,1023591.0,2.0,5.0
0,M Klinger,1023589.0,1.0,1.0
1,SM Whiteman,1023589.0,1.0,2.0
2,IR Bell,1023589.0,1.0,3.0
3,MR Marsh,1023589.0,1.0,4.0
4,DJ Willey,1023589.0,1.0,5.0
5,AJ Turner,1023589.0,1.0,6.0
6,AC Voges,1023589.0,1.0,7.0
7,AC Agar,1023589.0,1.0,8.0
0,BR Dunk,1023589.0,2.0,1.0
1,TM Head,1023589.0,2.0,2.0
2,J Weatherald,1023589.0,2.0,3.0
3,BJ Hodge,1023589.0,2.0,4.0
